sort,和名洋名,JIS慣用色名よみかた,JIS慣用色名,JIS系統色名,マンセル値,基本色彩語での分類,PCCS,WEBカラー値,R,G,B,C,M,Y,K,色彩検定
05_緑,洋名,malachite green,マラカイトグリーン,こい緑,4G 4.5/9,06_緑,dp12,09357,0,147,87,90,0,85,10,2級
05_緑,洋名,mint green,ミントグリーン,明るい緑,2.5G 7.5/8,06_緑,b12,87C693,135,198,147,45,0,50,0,2級
05_緑,洋名,viridian,ビリジアン,くすんだ青みの緑,8G 4/6,06_緑,d12,07D5F,0,125,95,80,0,60,30,3級
05_緑,和名,せいじいろ,青磁色,やわらかい青みの緑,7.5G 6.5/4,06_緑,sf12,5DAD94,93,173,148,57,0,40,10,3級
05_緑,和名,ときわいろ,常盤色,こい緑,3G 4.5/7,06_緑,dp12,07042,0,112,66,82,0,80,38,2級
05_緑,和名,ろくしょういろ,緑青色,くすんだ緑,4G 5/4,06_緑,d12,3F7955,63,121,85,57,0,60,40,2級
05_緑,和名,わかたけいろ,若竹色,つよい緑,6G 6/7.5,06_緑,b12,5DB98B,93,185,139,60,0,55,0,3級
06_青緑,洋名,nile blue,ナイルブルー,くすんだ青緑,10BG 5.5/5,07_青,sf16,2A9484,42,148,132,70,0,40,20,2級
06_青緑,洋名,peacock green,ピーコックグリーン,あざやかな青緑,7.5BG 4.5/9,06_緑,v14,0A48F,0,164,143,90,0,50,0,2級
06_青緑,和名,てついろ,鉄色,ごく暗い青緑,2.5BG 2.5/2.5,06_緑,dk14,64739,6,71,57,70,0,50,70,2級
07_青,洋名,baby blue,ベビーブルー,明るい灰みの青,10B 7.5/3,07_青,p18+,ABDBE3,171,219,227,30,0,5,0,3級
07_青,洋名,cerulean blue,セルリアンブルー,あざやかな青,9B 4.5/9,07_青,b16(v17),0829E,0,130,158,80,0,5,30,2級
07_青,洋名,cobalt blue,コバルトブルー,あざやかな青,3PB 4/10,07_青,v18,066A5,0,102,165,100,50,0,0,3級
07_青,洋名,cyan,シアン,明るい青,7.5B 6/10,07_青,v16,0A3DB,0,163,219,100,0,0,0,3級
07_青,洋名,marine blue,マリンブルー,こい緑みの青,5B 3/7,07_青,dp16,05C6F,0,92,111,100,0,15,50,3級
07_青,洋名,midnight blue,ミッドナイトブルー,ごく暗い紫みの青,5PB 1.5/2,07_青,dkg18,0152D,0,21,45,80,50,0,80,2級
